ID,name,category,gender,follower_count,platform
INF_0001,Bachittar Natt,Fitness,Male,581778,Instagram
INF_0002,Charan Kara,Lifestyle,Male,219947,Twitter
INF_0003,Hiral Shroff,Health Coach,Male,889834,Instagram
INF_0004,Naveen Ghosh,Fitness,Male,492925,Twitter
INF_0005,Riya Subramanian,Health Coach,Male,421992,Twitter
INF_0006,Yauvani Tak,Health Coach,Male,947059,Twitter
INF_0007,Zashil Sengupta,Nutrition,Female,18628,Instagram
INF_0008,Pratyush Sarkar,Celebrity,Male,331064,Instagram
INF_0009,Leela Dhar,Nutrition,Male,801765,Instagram
INF_0010,Samaksh Sant,Nutrition,Female,1271105,YouTube
INF_0011,Simon Bhalla,Fitness,Female,1129551,Instagram
INF_0012,Nihal Raju,Celebrity,Male,619839,Twitter
INF_0013,David Srivastava,Health Coach,Female,763403,Twitter
INF_0014,Hemani Menon,Lifestyle,Female,101100,Twitter
INF_0015,Osha Parmar,Lifestyle,Female,172335,Instagram
INF_0016,Vritti Bhattacharyya,Fitness,Male,955870,Twitter
INF_0017,Janaki Deol,Nutrition,Male,750056,Instagram
INF_0018,Pushti Varty,Nutrition,Female,1438503,Twitter
INF_0019,Urvashi Dugar,Fitness,Female,363903,Twitter
INF_0020,Urmi Ramachandran,Lifestyle,Male,800775,YouTube
INF_0021,Ria Khosla,Health Coach,Male,685070,Instagram
INF_0022,Tarak Sant,Lifestyle,Female,1693303,YouTube
INF_0023,Raksha Pau,Celebrity,Male,447463,Twitter
INF_0024,Pooja Sani,Nutrition,Male,1051963,YouTube
INF_0025,Chaitaly Boase,Celebrity,Male,297826,Instagram
INF_0026,Nitara Choudhry,Health Coach,Female,1571601,Twitter
INF_0027,Nandini Doshi,Celebrity,Female,842603,YouTube
INF_0028,Chatura Dhillon,Lifestyle,Non-binary,295102,Twitter
INF_0029,Girindra Pathak,Celebrity,Male,103810,Instagram
INF_0030,Qasim Edwin,Lifestyle,Female,1666110,Twitter
INF_0031,Jagdish Ramanathan,Celebrity,Female,811915,YouTube
INF_0032,Dayita Aurora,Health Coach,Non-binary,1114633,YouTube
INF_0033,Azad Baria,Health Coach,Female,29077,Twitter
